experiment_name,system,goal,scale,runs,variants,clean_task_success_rate,attacked_task_success_rate,leakage_asr,external_leakage_asr,internal_leakage_rate,final_output_leakage_rate,utility_drop,operational_degradation_score,tool_call_increase,retry_rate,loop_or_failure_rate,final_output_empty_rate
langgraph_real_llm_ollama_leakage_small,LangGraph,leakage,small,28,6,1.0,1.0,1.0,,1.0,0.375,0.0,0.06481481481481483,0.2592592592592593,0.0,0.0,0.0
langgraph_real_llm_ollama_external_leakage_small,LangGraph,external_leakage,small,28,6,1.0,0.7916666666666666,0.6666666666666666,0.375,0.6666666666666666,0.375,0.20833333333333337,0.052083333333333336,-0.1111111111111111,0.0,0.20833333333333334,0.0
langgraph_real_llm_ollama_degradation_small,LangGraph,degradation,small,28,6,1.0,1.0,,,,,0.0,0.018518518518518504,0.07407407407407401,0.0,0.0,0.0
agentdojo_real_llm_ollama_leakage_small,AgentDojo,leakage,small,28,6,1.0,1.0,0.9583333333333334,,0.9583333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
agentdojo_real_llm_ollama_external_leakage_small,AgentDojo,external_leakage,small,28,6,1.0,1.0,0.9583333333333334,0.16666666666666666,0.9583333333333334,0.16666666666666666,0.0,0.010416666666666685,0.04166666666666674,0.0,0.0,0.0
agentdojo_real_llm_ollama_degradation_small,AgentDojo,degradation,small,28,6,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
autogen_official_llm_ollama_leakage_small,AutoGen official,leakage,small,28,6,1.0,0.9583333333333334,1.0,,1.0,0.4583333333333333,0.04166666666666663,0.010416666666666666,0.0,0.0,0.041666666666666664,0.0
autogen_official_llm_ollama_external_leakage_small,AutoGen official,external_leakage,small,28,6,1.0,0.75,1.0,0.20833333333333334,1.0,0.20833333333333334,0.25,0.0625,0.0,0.0,0.25,0.0
autogen_official_llm_ollama_degradation_small,AutoGen official,degradation,small,28,6,1.0,0.9583333333333334,,,,,0.04166666666666663,0.020826190701376895,0.0,0.0,0.041666666666666664,0.0
crewai_official_llm_ollama_leakage_small,CrewAI official,leakage,small,28,6,1.0,0.9166666666666666,1.0,,1.0,0.2916666666666667,0.08333333333333337,0.020833333333333332,0.0,0.0,0.08333333333333333,0.0
crewai_official_llm_ollama_external_leakage_small,CrewAI official,external_leakage,small,28,6,0.75,0.4583333333333333,0.9166666666666666,0.2916666666666667,0.9166666666666666,0.2916666666666667,0.2916666666666667,0.13541666666666666,0.0,0.0,0.5416666666666666,0.0
crewai_official_llm_ollama_degradation_small,CrewAI official,degradation,small,28,6,1.0,0.9583333333333334,,,,,0.04166666666666663,0.010416666666666666,0.0,0.0,0.041666666666666664,0.0
langgraph_real_llm_ollama_degradation_medium,LangGraph,degradation,medium,104,12,1.0,1.0,,,,,0.0,,0.019607843137254832,0.0,0.0,
